sp,weber.length,head.width,pronotum.width,mandible.length,scape.length,eye.width,leg.length,label,caste
tlan,0.737509,0.703184,0.493625,0.35519,0.442591,0.157009,0.939378,MP0082,w
tlan,0.669,0.636,0.481,0.343,0.397,0.141,0.839,MP0088,w
tlan,0.67,0.64,0.451,0.323,0.362,0.149,0.839,MP0091,w
tlan,0.769359,0.689876,0.492517,0.369084,0.43773,0.1548,0.888397,MP0104,w
tlan,0.675637,0.608252,0.433968,0.338655,0.387417,0.129535,0.800345,MP0119,w
tmel,0.477632,NA,0.287848,NA,NA,NA,0.803002,LMC0005,w
tmel,0.603669,0.442088,0.310301,0.23587,0.462279,0.146,NA,LMC0015,w
tmel,0.477089,NA,0.278626,0.179189,NA,0.109871,0.758977,LMC0025,w
tmel,0.484103,NA,0.283819,NA,NA,NA,0.774594,LMC0073,w
tmel,0.505402,NA,0.27229,NA,NA,0.121295,0.715629,LMC0090,w
tmel,0.53489,NA,0.279704,NA,NA,0.126603,0.904254,LMC0102,w
tmel,0.472549,NA,0.244646,NA,NA,0.120132,0.756201,LMC0129,w
tmel,0.517012,NA,NA,NA,NA,0.117153,NA,LMC0140,w
tmel,0.576506,0.480601,0.329394,0.242984,0.445927,0.129972,0.919744,LMC0155,w
tmel,0.569,0.459,0.303,0.231,0.415,0.127,NA,LMC0186,w
tmel,0.625,0.449,0.319,NA,0.428,0.132,0.857,LMC0214,w
tmel,0.564,0.436,0.291,0.244,0.382,0.139,0.801,LMC0329,w
tmel,0.611,0.469,0.315,0.252,0.413,0.137,0.776,LMC0345,w
tmel,0.533,0.402,NA,0.201,0.393,0.11,0.711,MP0114,w
