sp,weber.length,head.width,pronotum.width,mandible.length,scape.length,eye.width,leg.length,label,caste
cpar,2.452359,1.187472,1.050522999,0.723558,1.928136999,0.374464,4.3033,MP0060,w
cpar,2.746184,1.406597999,1.157651001,0.789656001,2.176031999,0.408402999,4.52604,MP0067,w
cpar,3.006,1.414999999,1.211000001,0.807,2.266,0.42,4.9,MP0150,w
cpar,2.793,1.426000001,1.239000001,0.755000001,2.182999999,0.432999999,4.954999999,MP0151,w
cpar,2.756,1.359999999,1.151000001,0.767000001,2.139000001,0.384000001,4.729,MP0152,w
cpar,2.909,1.384000001,1.239,0.735000001,2.281000001,0.452999999,5.210999999,MP0153,w
cpar,3.444456,2.673891998,1.646545001,1.129143999,2.340212001,0.582612999,5.739750999,MP0066,m
csp1,0.526209,0.372905,0.260345,0.22333,0.330098,0.10281,0.619249,LMC0037,w
csp1,0.496162,0.355098,0.222546,0.202354,0.302483,0.088116,0.566589,LMC0041,w
csp1,0.547778,0.384851,0.271127,0.227662,0.309965,NA,0.555573,LMC0044,w
csp1,0.570579,0.360748,0.256021,0.23829,0.330739,0.090545,0.636213,LMC0051,w
csp1,0.527951,0.367866,0.256591,0.215271,0.314237,0.11108,0.580799,LMC0103,w
csp1,0.529943,0.366862,0.259251,0.221418,0.321275,0.116173,0.613002,LMC0116,w
csp1,0.494054,0.365307,0.247176,0.20645,0.303068,0.096895,NA,LMC0128,w
csp1,0.494924,0.361037,0.256909,0.205691,0.304078,0.097863,0.573036,LMC0148,w
csp1,0.52468,0.373759,0.257048,NA,0.312817,0.111299,0.594466,LMC0150,w
csp1,0.503,0.358,0.249,NA,0.29,0.091,0.527,LMC0323,w
csp2,0.698,0.492,0.32,0.258,0.415,0.144,0.911,ANTWEB1016890,w
csp2,0.701,0.518,0.325,0.278,0.45,0.149,0.896,ANTWEB1016892,w
csp2,0.691,0.511,0.335,0.279,0.435,0.148,0.888,ANTWEB1016995,w
csp2,0.656828,0.475254,0.320551,0.287007,0.404536,0.127362,0.808315,LMC0403,w
csp2,0.698,0.499,0.334,0.283,0.417,0.142,0.89,LMC0570,w
csp2,0.631026,0.46359,0.311355,0.258424,0.396676,0.127257,0.80207,MP0004,w
csp2,0.67187,0.492562,0.328723,0.260756,0.436513,0.130131,0.862452,MP0099,w
csp2,0.642841,0.470494,NA,0.275391,0.385857,0.120535,NA,MP0101,w
csp2,0.659596,0.487345,0.324778,0.272763,0.408255,0.121071,0.784184,MP0108,w
csp2,0.689,0.492,0.333,0.278,0.398,0.144,0.926,MP0200,w
cvar,2.911424,1.281370999,1.137281999,0.748739001,2.458311001,0.504236,5.424452999,LMC0001,w
cvar,2.916179,1.245403,1.138227001,0.694092,2.29601,0.477848001,5.254744001,LMC0035,w
cvar,2.769955,1.224436999,1.060896,0.771189,2.022211999,0.460224001,4.732616,LMC0047,w
cvar,2.912254,1.217266,1.049285,0.71891,2.420798999,0.482975999,5.368194,LMC0057,w
cvar,2.755325,1.256017001,1.077908001,0.710412,2.382651999,0.486607999,5.072814001,LMC0065,w
cvar,3.069974,1.395725,1.234626,0.800524001,2.450824999,0.496376001,5.485373,LMC0095,w
cvar,2.865565,1.287547,1.059011999,0.727869001,2.278233001,0.474738999,4.783621001,LMC0104,w
cvar,3.128981,1.336339999,1.244762,0.791785,2.394942002,0.494223,4.808245999,LMC0117,w
cvar,2.957079,1.287434,1.134753,0.763000001,2.431793999,0.482496999,5.071514999,LMC0124,w
cvar,2.901233,1.230614,1.090477001,0.684077,2.395752001,0.468328,4.871844001,LMC0125,w
cvar,3.172234,1.355693999,1.20898,0.781973001,2.531504001,0.506997001,5.397457999,LMC0135,w
cvar,3.02222,1.286896999,1.116365001,0.779745,2.45538,0.488334001,5.41049,LMC0162,w
cvar,3.49744,2.650641999,1.540713998,1.005866,2.351189,0.593910999,6.024769001,LMC0046,m
cvit,1.544,1.003999999,0.69,0.395000001,1.09,0.312,1.788,IAS0124,w
cvit,1.567081,1.088194,0.785988,0.445032,1.03237,0.298108,2.207708,LMC0063,w
cvit,1.597524,1.077027001,0.805355001,0.471312001,1.173873,0.29866,2.332801,LMC0165,w
cvit,1.430225,0.964730999,0.683336,0.415035,1.061781001,0.299366,2.215286,LMC0232,w
cvit,1.630875,1.136762001,0.798156,0.464579999,0.906099001,0.329791001,NA,LMC0239,w
cvit,1.521656,0.969525,0.717367,0.427451999,1.029,0.311509,2.138866999,LMC0249,w
cvit,1.500077,0.985961,0.766248001,0.436374,1.037212,0.295955001,2.03013,LMC0325,w
cvit,1.333121,0.882577001,0.662466,0.366484,1.013448,0.252057,1.762996,MP0019,w
cvit,1.460428,0.93893,0.696765,0.399688,1.044376001,0.282651,2.327194,MP0033,w
cvit,1.55521,1.015696999,0.758466999,0.426418,1.083867,0.294474,2.167849,MP0062,w
dsib,1.352,0.941,0.673,0.398,0.759000001,0.287999999,1.569000001,BMW00028,w
dsib,1.245,0.965999999,0.654,0.420000001,0.770000001,0.268,1.629,BMW00482,w
dsib,1.259,0.913,0.667,0.376,0.721000001,0.258999999,1.549,IASHA04,w
dsib,1.135246,0.832892,0.561951,0.347614,0.691692,0.193493999,NA,LMC0089,w
dsib,1.242063,0.865127,0.634060001,0.374439,0.620869,0.268131,1.480386001,LMC0333,w
dsib,1.196376,0.82846,0.586539001,0.375875,0.696681,0.187776,1.534572,LMC0383,w
dsib,1.050969,0.821633,NA,0.358333,0.623441,0.228028,1.266282,MP0083,w
dsib,1.143666,0.855563,0.571723999,0.398422,0.694442,0.224248,1.536129,MP0087,w
dsib,1.087164,0.792189,0.53796,0.386743,0.629217,0.242418,1.468356,MP0125,w
dsib,1.128,0.869,0.546,0.365,0.69,0.278,NA,MP0160,w
esha,1.426,0.877000001,0.649000001,0.592,0.669,0.076,NA,BMW00099,w
esha,1.455,0.899,0.694,0.588,0.689,0.059999999,1.514,BMW00481,w
esha,1.587,0.975999999,0.753,0.607999999,0.726999999,0.084,1.534,BMW00781,w
esha,1.706,1.027,0.768999999,0.621000001,0.747,NA,1.651,BMW02030,w
esha,1.621207,1.066824001,0.77121,0.633756,0.730789999,0.085556001,1.746756,LMC0091,w
esha,1.55096,0.968177,0.731191,0.605918999,0.701069,0.057873001,1.464834,LMC0110,w
esha,1.486681,0.911632,0.687503001,0.564372001,0.692918,0.082925,1.492051999,LMC0299,w
esha,1.425636,0.938928,0.693617,0.592779,0.662226,NA,1.453957,MP0077,w
esha,1.638,1.001,0.727,0.594000001,0.721,NA,1.592,RHL01256,w
esha,1.699,1.043,0.777,0.652,0.754999999,0.091,1.527999999,RHL02793,w
mchi,0.424915,0.339932,0.224407,0.183781,0.261454,NA,0.440515,LMC0016,w
mchi,0.444163,0.346645,0.220996,0.190416,0.293087,0.073962,0.517274,LMC0029,w
mchi,0.419044,0.326311,0.207531,0.186255,0.251631,0.066028,NA,LMC0056,w
mchi,0.425269,0.331168,0.218693,0.194327,0.273001,0.059786,0.491486,LMC0074,w
mchi,0.44344,0.343599,0.234304,0.157211,0.294787,0.077903,0.53384,LMC0086,w
mchi,0.426929,0.342352,0.22264,0.195558,0.277241,0.075932,0.545506,LMC0087,w
mchi,0.473482,0.347576,0.238348,0.224536,0.292508,0.083526,0.515,LMC0152,w
mchi,0.438716,NA,0.222184,NA,NA,0.070921,0.467753,LMC0159,w
mchi,0.48022,0.360674,0.240428,0.216083,0.312544,0.085196,0.563751,LMC0161,w
